-----;------;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
IPER ; INO  ; ICEN ;IPAT ;  Dur   ;SIST;   Nome Sist   ;  Demanda   ;  GerPeq  ;   Gter   ;  GterAT  ;   Ghid   ;   Geol   ;  Cbomb   ;  Compra  ;  Venda   ; IntercLiq  ; Itaipu50 ; Itaipu60 ; Deficit  ;   ENA    ;   EarmInic    ;EarmInic% ;    EarmFim    ; EarmFim% ;   CMO   ;
  -  ;  -   ;  -   ;  -  ;  (h)   ; -  ;       -       ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ; (MWmes)  ;    (MWmes)    ;   (%)    ;    (MWmes)    ;   (%)    ; ($/MWh) ;
-----;------;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
   2 ;   86 ;   85 ;   1 ; 152.00 ;  1 ; SE            ;    49356.0 ;   3502.0 ;  6663.30 ;   550.00 ; 30775.90 ;     0.00 ;    27.67 ;     0.00 ;     0.00 ;   10841.47 ;  3500.00 ;  6629.00 ;     0.00 ;  45370.4 ;      52743.55 ;    25.81 ;      66499.76 ;    32.55 ;  834.53 ;
   2 ;   86 ;   85 ;   2 ; 182.00 ;  1 ; SE            ;    45816.0 ;   3502.0 ;  6665.30 ;   550.00 ; 27244.86 ;     0.00 ;   115.60 ;     0.00 ;     0.00 ;   10306.44 ;  3500.00 ;  6150.97 ;     0.00 ;  45370.4 ;      52743.55 ;    25.81 ;      66499.76 ;    32.55 ;  817.90 ;
   2 ;   86 ;   85 ;   3 ; 362.00 ;  1 ; SE            ;    38351.0 ;   3502.0 ;  6656.30 ;   550.00 ; 21811.62 ;     0.00 ;   115.60 ;     0.00 ;     0.00 ;    7406.68 ;  1900.00 ;  4520.20 ;     0.00 ;  45370.4 ;      52743.55 ;    25.81 ;      66499.76 ;    32.55 ;  803.86 ;
   2 ;   86 ;   85 ;  -  ;   -    ;  1 ; SE            ;    42706.4 ;   3502.0 ;  6660.18 ;   550.00 ; 25190.09 ;     0.00 ;    96.40 ;     0.00 ;     0.00 ;    8915.08 ;  2667.82 ;  5407.18 ;     0.00 ;  45370.4 ;      52743.55 ;    25.81 ;      66499.76 ;    32.55 ;  814.23 ;
   2 ;   86 ;   85 ;   1 ; 152.00 ;  2 ; S             ;    15552.0 ;   1690.0 ;  1507.40 ;     0.00 ;  8563.26 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    3791.34 ;    -     ;    -     ;     0.00 ;   4717.4 ;       5777.39 ;    29.04 ;       5778.41 ;    29.04 ;  834.53 ;
   2 ;   86 ;   85 ;   2 ; 182.00 ;  2 ; S             ;    13575.0 ;   1690.0 ;  1517.00 ;     0.00 ;  5648.28 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    4719.72 ;    -     ;    -     ;     0.00 ;   4717.4 ;       5777.39 ;    29.04 ;       5778.41 ;    29.04 ;  817.90 ;
   2 ;   86 ;   85 ;   3 ; 362.00 ;  2 ; S             ;    11070.0 ;   1690.0 ;  1543.70 ;     0.00 ;  3341.61 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    4494.69 ;    -     ;    -     ;     0.00 ;   4717.4 ;       5777.39 ;    29.04 ;       5778.41 ;    29.04 ;  803.86 ;
   2 ;   86 ;   85 ;  -  ;   -    ;  2 ; S             ;    12703.9 ;   1690.0 ;  1528.79 ;     0.00 ;  5085.15 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    4399.93 ;    -     ;    -     ;     0.00 ;   4717.4 ;       5777.39 ;    29.04 ;       5778.41 ;    29.04 ;  814.23 ;
   2 ;   86 ;   85 ;   1 ; 152.00 ;  3 ; NE            ;    13028.0 ;   4839.0 ;  3489.50 ;     0.00 ;  3599.41 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    1100.09 ;    -     ;    -     ;     0.00 ;   3663.9 ;      20818.72 ;    40.34 ;      21776.52 ;    42.20 ;  822.52 ;
   2 ;   86 ;   85 ;   2 ; 182.00 ;  3 ; NE            ;    12347.0 ;   4839.0 ;  3489.50 ;     0.00 ;  2510.68 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    1507.82 ;    -     ;    -     ;     0.00 ;   3663.9 ;      20818.72 ;    40.34 ;      21776.52 ;    42.20 ;  817.90 ;
   2 ;   86 ;   85 ;   3 ; 362.00 ;  3 ; NE            ;    10894.0 ;   4839.0 ;  3489.50 ;     0.00 ;  1898.73 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     666.77 ;    -     ;    -     ;     0.00 ;   3663.9 ;      20818.72 ;    40.34 ;      21776.52 ;    42.20 ;  803.86 ;
   2 ;   86 ;   85 ;  -  ;   -    ;  3 ; NE            ;    11740.0 ;   4839.0 ;  3489.50 ;     0.00 ;  2430.17 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     981.33 ;    -     ;    -     ;     0.00 ;   3663.9 ;      20818.72 ;    40.34 ;      21776.52 ;    42.20 ;  811.61 ;
   2 ;   86 ;   85 ;   1 ; 152.00 ;  4 ; N             ;     6328.0 ;    437.0 ;  3127.90 ;     0.00 ; 14704.66 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -11941.56 ;    -     ;    -     ;     0.00 ;   9405.1 ;       3215.86 ;    21.83 ;       6315.72 ;    42.87 ;  822.52 ;
   2 ;   86 ;   85 ;   2 ; 182.00 ;  4 ; N             ;     6237.0 ;    437.0 ;  3117.50 ;     0.00 ; 14496.77 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -11814.27 ;    -     ;    -     ;     0.00 ;   9405.1 ;       3215.86 ;    21.83 ;       6315.72 ;    42.87 ;  817.90 ;
   2 ;   86 ;   85 ;   3 ; 362.00 ;  4 ; N             ;     5780.0 ;    437.0 ;  3088.70 ;     0.00 ; 11001.38 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;   -8747.08 ;    -     ;    -     ;     0.00 ;   9405.1 ;       3215.86 ;    21.83 ;       6315.72 ;    42.87 ;  803.86 ;
   2 ;   86 ;   85 ;  -  ;   -    ;  4 ; N             ;     6019.2 ;    437.0 ;  3104.79 ;     0.00 ; 12724.17 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -10246.78 ;    -     ;    -     ;     0.00 ;   9405.1 ;       3215.86 ;    21.83 ;       6315.72 ;    42.87 ;  811.61 ;
   2 ;   86 ;   85 ;   1 ; 152.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  822.52 ;
   2 ;   86 ;   85 ;   2 ; 182.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  817.90 ;
   2 ;   86 ;   85 ;   3 ; 362.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  803.86 ;
   2 ;   86 ;   85 ;  -  ;   -    ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  811.61 ;
   2 ;   87 ;   86 ;   1 ; 152.00 ;  1 ; SE            ;    49356.0 ;   3502.0 ;  5226.70 ;   550.00 ; 31129.93 ;     0.00 ;    26.76 ;     0.00 ;     0.00 ;   11923.13 ;  3500.00 ;  6629.00 ;     0.00 ;  55624.3 ;      52743.55 ;    25.81 ;      74476.03 ;    36.45 ;  488.09 ;
   2 ;   87 ;   86 ;   2 ; 182.00 ;  1 ; SE            ;    45816.0 ;   3502.0 ;  5228.70 ;   550.00 ; 29046.81 ;     0.00 ;   115.60 ;     0.00 ;     0.00 ;    9941.09 ;  3500.00 ;  6150.97 ;     0.00 ;  55624.3 ;      52743.55 ;    25.81 ;      74476.03 ;    36.45 ;  485.34 ;
   2 ;   87 ;   86 ;   3 ; 362.00 ;  1 ; SE            ;    38351.0 ;   3502.0 ;  5219.70 ;   550.00 ; 21961.70 ;     0.00 ;   115.60 ;     0.00 ;     0.00 ;    8693.20 ;  1900.00 ;  4520.20 ;     0.00 ;  55624.3 ;      52743.55 ;    25.81 ;      74476.03 ;    36.45 ;  457.28 ;
   2 ;   87 ;   86 ;  -  ;   -    ;  1 ; SE            ;    42706.4 ;   3502.0 ;  5223.58 ;   550.00 ; 25816.67 ;     0.00 ;    96.20 ;     0.00 ;     0.00 ;    9724.91 ;  2667.82 ;  5407.18 ;     0.00 ;  55624.3 ;      52743.55 ;    25.81 ;      74476.03 ;    36.45 ;  471.35 ;
   2 ;   87 ;   86 ;   1 ; 152.00 ;  2 ; S             ;    15552.0 ;   1690.0 ;  1264.30 ;     0.00 ;  8296.05 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    4301.65 ;    -     ;    -     ;     0.00 ;   4854.6 ;       5777.39 ;    29.04 ;       5760.79 ;    28.95 ;  488.09 ;
   2 ;   87 ;   86 ;   2 ; 182.00 ;  2 ; S             ;    13575.0 ;   1690.0 ;  1273.90 ;     0.00 ;  6989.71 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    3621.39 ;    -     ;    -     ;     0.00 ;   4854.6 ;       5777.39 ;    29.04 ;       5760.79 ;    28.95 ;  485.34 ;
   2 ;   87 ;   86 ;   3 ; 362.00 ;  2 ; S             ;    11070.0 ;   1690.0 ;  1300.60 ;     0.00 ;  3434.92 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    4644.48 ;    -     ;    -     ;     0.00 ;   4854.6 ;       5777.39 ;    29.04 ;       5760.79 ;    28.95 ;  457.28 ;
   2 ;   87 ;   86 ;  -  ;   -    ;  2 ; S             ;    12703.9 ;   1690.0 ;  1285.69 ;     0.00 ;  5426.11 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    4302.07 ;    -     ;    -     ;     0.00 ;   4854.6 ;       5777.39 ;    29.04 ;       5760.79 ;    28.95 ;  471.35 ;
   2 ;   87 ;   86 ;   1 ; 152.00 ;  3 ; NE            ;    13028.0 ;   4839.0 ;  2240.10 ;     0.00 ;  3561.90 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    2387.00 ;    -     ;    -     ;     0.00 ;   4491.6 ;      20818.72 ;    40.34 ;      22603.63 ;    43.80 ;  488.09 ;
   2 ;   87 ;   86 ;   2 ; 182.00 ;  3 ; NE            ;    12347.0 ;   4839.0 ;  2240.10 ;     0.00 ;  2607.75 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    2660.15 ;    -     ;    -     ;     0.00 ;   4491.6 ;      20818.72 ;    40.34 ;      22603.63 ;    43.80 ;  485.34 ;
   2 ;   87 ;   86 ;   3 ; 362.00 ;  3 ; NE            ;    10894.0 ;   4839.0 ;  2240.10 ;     0.00 ;  1876.46 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    1938.44 ;    -     ;    -     ;     0.00 ;   4491.6 ;      20818.72 ;    40.34 ;      22603.63 ;    43.80 ;  457.28 ;
   2 ;   87 ;   86 ;  -  ;   -    ;  3 ; NE            ;    11740.0 ;   4839.0 ;  2240.10 ;     0.00 ;  2435.77 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    2225.13 ;    -     ;    -     ;     0.00 ;   4491.6 ;      20818.72 ;    40.34 ;      22603.63 ;    43.80 ;  471.35 ;
   2 ;   87 ;   86 ;   1 ; 152.00 ;  4 ; N             ;     6328.0 ;    437.0 ;  1822.00 ;     0.00 ; 16069.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -12000.00 ;    -     ;    -     ;     0.00 ;  12604.4 ;       3215.86 ;    21.83 ;       8616.81 ;    58.49 ;  117.31 ;
   2 ;   87 ;   86 ;   2 ; 182.00 ;  4 ; N             ;     6237.0 ;    437.0 ;  1809.87 ;     0.00 ; 15990.13 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -12000.00 ;    -     ;    -     ;     0.00 ;  12604.4 ;       3215.86 ;    21.83 ;       8616.81 ;    58.49 ;  109.23 ;
   2 ;   87 ;   86 ;   3 ; 362.00 ;  4 ; N             ;     5780.0 ;    437.0 ;  1247.86 ;     0.00 ; 15795.14 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -11700.00 ;    -     ;    -     ;     0.00 ;  12604.4 ;       3215.86 ;    21.83 ;       8616.81 ;    58.49 ;  109.23 ;
   2 ;   87 ;   86 ;  -  ;   -    ;  4 ; N             ;     6019.2 ;    437.0 ;  1520.21 ;     0.00 ; 15905.94 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -11843.97 ;    -     ;    -     ;     0.00 ;  12604.4 ;       3215.86 ;    21.83 ;       8616.81 ;    58.49 ;  110.99 ;
   2 ;   87 ;   86 ;   1 ; 152.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  117.31 ;
   2 ;   87 ;   86 ;   2 ; 182.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  109.23 ;
   2 ;   87 ;   86 ;   3 ; 362.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  109.23 ;
   2 ;   87 ;   86 ;  -  ;   -    ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  110.99 ;
   2 ;   88 ;   87 ;   1 ; 152.00 ;  1 ; SE            ;    49356.0 ;   3502.0 ;  3173.90 ;   550.00 ; 33241.66 ;     0.00 ;    35.91 ;     0.00 ;     0.00 ;   11873.36 ;  3500.00 ;  6629.00 ;     0.00 ;  65205.5 ;      52743.55 ;    25.81 ;      80741.13 ;    39.52 ;  140.27 ;
   2 ;   88 ;   87 ;   2 ; 182.00 ;  1 ; SE            ;    45816.0 ;   3502.0 ;  3175.90 ;   550.00 ; 30353.00 ;     0.00 ;   115.60 ;     0.00 ;     0.00 ;   10687.70 ;  3500.00 ;  6150.97 ;     0.00 ;  65205.5 ;      52743.55 ;    25.81 ;      80741.13 ;    39.52 ;  136.24 ;
   2 ;   88 ;   87 ;   3 ; 362.00 ;  1 ; SE            ;    38351.0 ;   3502.0 ;  3166.90 ;   550.00 ; 25286.93 ;     0.00 ;   115.60 ;     0.00 ;     0.00 ;    7420.77 ;  1900.00 ;  4520.20 ;     0.00 ;  65205.5 ;      52743.55 ;    25.81 ;      80741.13 ;    39.52 ;  130.79 ;
   2 ;   88 ;   87 ;  -  ;   -    ;  1 ; SE            ;    42706.4 ;   3502.0 ;  3170.78 ;   550.00 ; 28348.92 ;     0.00 ;    98.20 ;     0.00 ;     0.00 ;    9247.46 ;  2667.82 ;  5407.18 ;     0.00 ;  65205.5 ;      52743.55 ;    25.81 ;      80741.13 ;    39.52 ;  134.29 ;
   2 ;   88 ;   87 ;   1 ; 152.00 ;  2 ; S             ;    15552.0 ;   1690.0 ;   732.30 ;     0.00 ;  7881.44 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    5248.26 ;    -     ;    -     ;     0.00 ;  10579.0 ;       5777.39 ;    29.04 ;      11766.74 ;    59.14 ;  140.27 ;
   2 ;   88 ;   87 ;   2 ; 182.00 ;  2 ; S             ;    13575.0 ;   1690.0 ;   741.90 ;     0.00 ;  5531.11 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    5611.99 ;    -     ;    -     ;     0.00 ;  10579.0 ;       5777.39 ;    29.04 ;      11766.74 ;    59.14 ;  136.24 ;
   2 ;   88 ;   87 ;   3 ; 362.00 ;  2 ; S             ;    11070.0 ;   1690.0 ;   768.60 ;     0.00 ;  3530.56 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    5080.84 ;    -     ;    -     ;     0.00 ;  10579.0 ;       5777.39 ;    29.04 ;      11766.74 ;    59.14 ;  130.79 ;
   2 ;   88 ;   87 ;  -  ;   -    ;  2 ; S             ;    12703.9 ;   1690.0 ;   753.69 ;     0.00 ;  5003.89 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    5256.29 ;    -     ;    -     ;     0.00 ;  10579.0 ;       5777.39 ;    29.04 ;      11766.74 ;    59.14 ;  134.29 ;
   2 ;   88 ;   87 ;   1 ; 152.00 ;  3 ; NE            ;    13028.0 ;   4839.0 ;  1040.70 ;     0.00 ;  5649.30 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    1498.99 ;    -     ;    -     ;     0.00 ;  22947.3 ;      20818.72 ;    40.34 ;      39651.69 ;    76.84 ;  138.51 ;
   2 ;   88 ;   87 ;   2 ; 182.00 ;  3 ; NE            ;    12347.0 ;   4839.0 ;   916.30 ;     0.00 ;  5107.15 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    1484.55 ;    -     ;    -     ;     0.00 ;  22947.3 ;      20818.72 ;    40.34 ;      39651.69 ;    76.84 ;  136.24 ;
   2 ;   88 ;   87 ;   3 ; 362.00 ;  3 ; NE            ;    10894.0 ;   4839.0 ;   744.27 ;     0.00 ;  2373.92 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    2936.80 ;    -     ;    -     ;     0.00 ;  22947.3 ;      20818.72 ;    40.34 ;      39651.69 ;    76.84 ;  130.79 ;
   2 ;   88 ;   87 ;  -  ;   -    ;  3 ; NE            ;    11740.0 ;   4839.0 ;   854.00 ;     0.00 ;  3803.96 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    2243.04 ;    -     ;    -     ;     0.00 ;  22947.3 ;      20818.72 ;    40.34 ;      39651.69 ;    76.84 ;  133.90 ;
   2 ;   88 ;   87 ;   1 ; 152.00 ;  4 ; N             ;     6328.0 ;    437.0 ;  2218.30 ;     0.00 ; 15672.70 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -12000.00 ;    -     ;    -     ;     0.00 ;  16868.7 ;       3215.86 ;    21.83 ;      10750.52 ;    72.97 ;  136.24 ;
   2 ;   88 ;   87 ;   2 ; 182.00 ;  4 ; N             ;     6237.0 ;    437.0 ;  2207.90 ;     0.00 ; 14747.34 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -11155.24 ;    -     ;    -     ;     0.00 ;  16868.7 ;       3215.86 ;    21.83 ;      10750.52 ;    72.97 ;  136.24 ;
   2 ;   88 ;   87 ;   3 ; 362.00 ;  4 ; N             ;     5780.0 ;    437.0 ;  2179.10 ;     0.00 ; 13152.79 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;   -9988.89 ;    -     ;    -     ;     0.00 ;  16868.7 ;       3215.86 ;    21.83 ;      10750.52 ;    72.97 ;  130.79 ;
   2 ;   88 ;   87 ;  -  ;   -    ;  4 ; N             ;     6019.2 ;    437.0 ;  2195.19 ;     0.00 ; 14120.08 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -10733.09 ;    -     ;    -     ;     0.00 ;  16868.7 ;       3215.86 ;    21.83 ;      10750.52 ;    72.97 ;  133.41 ;
   2 ;   88 ;   87 ;   1 ; 152.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  136.24 ;
   2 ;   88 ;   87 ;   2 ; 182.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  136.24 ;
   2 ;   88 ;   87 ;   3 ; 362.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  130.79 ;
   2 ;   88 ;   87 ;  -  ;   -    ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  133.41 ;
   2 ;   89 ;   88 ;   1 ; 152.00 ;  1 ; SE            ;    49356.0 ;   3502.0 ;  6663.30 ;   550.00 ; 30496.94 ;     0.00 ;    38.66 ;     0.00 ;     0.00 ;   11131.42 ;  3500.00 ;  6629.00 ;     0.00 ;  43330.1 ;      52743.55 ;    25.81 ;      63655.90 ;    31.15 ;  814.46 ;
   2 ;   89 ;   88 ;   2 ; 182.00 ;  1 ; SE            ;    45816.0 ;   3502.0 ;  6665.30 ;   550.00 ; 27410.80 ;     0.00 ;   115.60 ;     0.00 ;     0.00 ;   10140.50 ;  3500.00 ;  6150.97 ;     0.00 ;  43330.1 ;      52743.55 ;    25.81 ;      63655.90 ;    31.15 ;  798.23 ;
   2 ;   89 ;   88 ;   3 ; 362.00 ;  1 ; SE            ;    38351.0 ;   3502.0 ;  6577.13 ;   550.00 ; 22324.73 ;     0.00 ;   115.60 ;     0.00 ;     0.00 ;    6972.74 ;  1900.00 ;  4520.20 ;     0.00 ;  43330.1 ;      52743.55 ;    25.81 ;      63655.90 ;    31.15 ;  777.77 ;
   2 ;   89 ;   88 ;  -  ;   -    ;  1 ; SE            ;    42706.4 ;   3502.0 ;  6619.00 ;   550.00 ; 25439.44 ;     0.00 ;    98.80 ;     0.00 ;     0.00 ;    8709.31 ;  2667.82 ;  5407.18 ;     0.00 ;  43330.1 ;      52743.55 ;    25.81 ;      63655.90 ;    31.15 ;  791.13 ;
   2 ;   89 ;   88 ;   1 ; 152.00 ;  2 ; S             ;    15552.0 ;   1690.0 ;  1507.40 ;     0.00 ;  9343.82 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    3010.78 ;    -     ;    -     ;     0.00 ;   5048.6 ;       5777.39 ;    29.04 ;       5755.64 ;    28.93 ;  814.46 ;
   2 ;   89 ;   88 ;   2 ; 182.00 ;  2 ; S             ;    13575.0 ;   1690.0 ;  1517.00 ;     0.00 ;  6535.03 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    3832.97 ;    -     ;    -     ;     0.00 ;   5048.6 ;       5777.39 ;    29.04 ;       5755.64 ;    28.93 ;  798.23 ;
   2 ;   89 ;   88 ;   3 ; 362.00 ;  2 ; S             ;    11070.0 ;   1690.0 ;  1543.70 ;     0.00 ;  3468.62 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    4367.68 ;    -     ;    -     ;     0.00 ;   5048.6 ;       5777.39 ;    29.04 ;       5755.64 ;    28.93 ;  777.77 ;
   2 ;   89 ;   88 ;  -  ;   -    ;  2 ; S             ;    12703.9 ;   1690.0 ;  1528.79 ;     0.00 ;  5553.56 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    3931.52 ;    -     ;    -     ;     0.00 ;   5048.6 ;       5777.39 ;    29.04 ;       5755.64 ;    28.93 ;  791.13 ;
   2 ;   89 ;   88 ;   1 ; 152.00 ;  3 ; NE            ;    13028.0 ;   4839.0 ;  3489.50 ;     0.00 ;  3735.76 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     963.74 ;    -     ;    -     ;     0.00 ;   4375.8 ;      20818.72 ;    40.34 ;      22536.04 ;    43.67 ;  814.46 ;
   2 ;   89 ;   88 ;   2 ; 182.00 ;  3 ; NE            ;    12347.0 ;   4839.0 ;  3489.50 ;     0.00 ;  2248.49 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    1770.01 ;    -     ;    -     ;     0.00 ;   4375.8 ;      20818.72 ;    40.34 ;      22536.04 ;    43.67 ;  798.23 ;
   2 ;   89 ;   88 ;   3 ; 362.00 ;  3 ; NE            ;    10894.0 ;   4839.0 ;  2939.70 ;     0.00 ;  1878.27 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    1237.03 ;    -     ;    -     ;     0.00 ;   4375.8 ;      20818.72 ;    40.34 ;      22536.04 ;    43.67 ;  777.77 ;
   2 ;   89 ;   88 ;  -  ;   -    ;  3 ; NE            ;    11740.0 ;   4839.0 ;  3203.54 ;     0.00 ;  2380.74 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    1316.72 ;    -     ;    -     ;     0.00 ;   4375.8 ;      20818.72 ;    40.34 ;      22536.04 ;    43.67 ;  791.13 ;
   2 ;   89 ;   88 ;   1 ; 152.00 ;  4 ; N             ;     6328.0 ;    437.0 ;  3127.90 ;     0.00 ; 14258.41 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -11495.31 ;    -     ;    -     ;     0.00 ;   9377.1 ;       3215.86 ;    21.83 ;       6816.35 ;    46.27 ;  814.46 ;
   2 ;   89 ;   88 ;   2 ; 182.00 ;  4 ; N             ;     6237.0 ;    437.0 ;  3117.50 ;     0.00 ; 14203.35 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -11520.85 ;    -     ;    -     ;     0.00 ;   9377.1 ;       3215.86 ;    21.83 ;       6816.35 ;    46.27 ;  798.23 ;
   2 ;   89 ;   88 ;   3 ; 362.00 ;  4 ; N             ;     5780.0 ;    437.0 ;  3088.70 ;     0.00 ; 10100.99 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;   -7846.69 ;    -     ;    -     ;     0.00 ;   9377.1 ;       3215.86 ;    21.83 ;       6816.35 ;    46.27 ;  777.77 ;
   2 ;   89 ;   88 ;  -  ;   -    ;  4 ; N             ;     6019.2 ;    437.0 ;  3104.79 ;     0.00 ; 12081.68 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;   -9604.29 ;    -     ;    -     ;     0.00 ;   9377.1 ;       3215.86 ;    21.83 ;       6816.35 ;    46.27 ;  791.13 ;
   2 ;   89 ;   88 ;   1 ; 152.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  814.46 ;
   2 ;   89 ;   88 ;   2 ; 182.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  798.23 ;
