-----;------;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
IPER ; INO  ; ICEN ;IPAT ;  Dur   ;SIST;   Nome Sist   ;  Demanda   ;  GerPeq  ;   Gter   ;  GterAT  ;   Ghid   ;   Geol   ;  Cbomb   ;  Compra  ;  Venda   ; IntercLiq  ; Itaipu50 ; Itaipu60 ; Deficit  ;   ENA    ;   EarmInic    ;EarmInic% ;    EarmFim    ; EarmFim% ;   CMO   ;
  -  ;  -   ;  -   ;  -  ;  (h)   ; -  ;       -       ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ; (MWmes)  ;    (MWmes)    ;   (%)    ;    (MWmes)    ;   (%)    ; ($/MWh) ;
-----;------;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
   2 ;    2 ;    1 ;   1 ; 152.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  109.23 ;
   2 ;    2 ;    1 ;   2 ; 182.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  109.23 ;
   2 ;    2 ;    1 ;   3 ; 362.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;   55.16 ;
   2 ;    2 ;    1 ;  -  ;   -    ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;   81.11 ;
   2 ;    3 ;    2 ;   1 ; 152.00 ;  1 ; SE            ;    49356.0 ;   3502.0 ;  6488.30 ;   550.00 ; 30754.89 ;     0.00 ;    21.26 ;     0.00 ;     0.00 ;   11031.07 ;  3500.00 ;  6629.00 ;     0.00 ;  54667.3 ;      52743.55 ;    25.81 ;      72795.86 ;    35.63 ;  777.75 ;
   2 ;    3 ;    2 ;   2 ; 182.00 ;  1 ; SE            ;    45816.0 ;   3502.0 ;  6490.30 ;   550.00 ; 27312.62 ;     0.00 ;   112.54 ;     0.00 ;     0.00 ;   10410.61 ;  3500.00 ;  6150.97 ;     0.00 ;  54667.3 ;      52743.55 ;    25.81 ;      72795.86 ;    35.63 ;  762.47 ;
   2 ;    3 ;    2 ;   3 ; 362.00 ;  1 ; SE            ;    38351.0 ;   3502.0 ;  6481.30 ;   550.00 ; 23898.37 ;     0.00 ;   115.60 ;     0.00 ;     0.00 ;    5494.93 ;  1900.00 ;  4520.20 ;     0.00 ;  54667.3 ;      52743.55 ;    25.81 ;      72795.86 ;    35.63 ;  745.90 ;
   2 ;    3 ;    2 ;  -  ;   -    ;  1 ; SE            ;    42706.4 ;   3502.0 ;  6485.18 ;   550.00 ; 26288.58 ;     0.00 ;    94.20 ;     0.00 ;     0.00 ;    7989.39 ;  2667.82 ;  5407.18 ;     0.00 ;  54667.3 ;      52743.55 ;    25.81 ;      72795.86 ;    35.63 ;  757.19 ;
   2 ;    3 ;    2 ;   1 ; 152.00 ;  2 ; S             ;    15552.0 ;   1690.0 ;  1507.40 ;     0.00 ;  7148.85 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    5205.75 ;    -     ;    -     ;     0.00 ;   4047.4 ;       5777.39 ;    29.04 ;       5775.34 ;    29.03 ;  777.75 ;
   2 ;    3 ;    2 ;   2 ; 182.00 ;  2 ; S             ;    13575.0 ;   1690.0 ;  1517.00 ;     0.00 ;  4805.38 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    5562.62 ;    -     ;    -     ;     0.00 ;   4047.4 ;       5777.39 ;    29.04 ;       5775.34 ;    29.03 ;  762.47 ;
   2 ;    3 ;    2 ;   3 ; 362.00 ;  2 ; S             ;    11070.0 ;   1690.0 ;  1543.70 ;     0.00 ;  3210.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    4626.30 ;    -     ;    -     ;     0.00 ;   4047.4 ;       5777.39 ;    29.04 ;       5775.34 ;    29.03 ;  745.90 ;
   2 ;    3 ;    2 ;  -  ;   -    ;  2 ; S             ;    12703.9 ;   1690.0 ;  1528.79 ;     0.00 ;  4487.39 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    4997.69 ;    -     ;    -     ;     0.00 ;   4047.4 ;       5777.39 ;    29.04 ;       5775.34 ;    29.03 ;  757.19 ;
   2 ;    3 ;    2 ;   1 ; 152.00 ;  3 ; NE            ;    13028.0 ;   4839.0 ;  2939.70 ;     0.00 ;  4817.86 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     431.44 ;    -     ;    -     ;     0.00 ;   3646.6 ;      20818.72 ;    40.34 ;      20895.20 ;    40.49 ;  777.75 ;
   2 ;    3 ;    2 ;   2 ; 182.00 ;  3 ; NE            ;    12347.0 ;   4839.0 ;  2584.60 ;     0.00 ;  4310.36 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     613.04 ;    -     ;    -     ;     0.00 ;   3646.6 ;      20818.72 ;    40.34 ;      20895.20 ;    40.49 ;  762.47 ;
   2 ;    3 ;    2 ;   3 ; 362.00 ;  3 ; NE            ;    10894.0 ;   4839.0 ;  2442.10 ;     0.00 ;  2226.27 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    1386.63 ;    -     ;    -     ;     0.00 ;   3646.6 ;      20818.72 ;    40.34 ;      20895.20 ;    40.49 ;  745.90 ;
   2 ;    3 ;    2 ;  -  ;   -    ;  3 ; NE            ;    11740.0 ;   4839.0 ;  2588.03 ;     0.00 ;  3337.23 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     975.74 ;    -     ;    -     ;     0.00 ;   3646.6 ;      20818.72 ;    40.34 ;      20895.20 ;    40.49 ;  757.19 ;
   2 ;    3 ;    2 ;   1 ; 152.00 ;  4 ; N             ;     6328.0 ;    437.0 ;  3127.41 ;     0.00 ; 14226.10 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -11462.51 ;    -     ;    -     ;     0.00 ;   8481.2 ;       3215.86 ;    21.83 ;       5977.25 ;    40.57 ;  777.75 ;
   2 ;    3 ;    2 ;   2 ; 182.00 ;  4 ; N             ;     6237.0 ;    437.0 ;  2799.10 ;     0.00 ; 14024.56 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;  -11023.66 ;    -     ;    -     ;     0.00 ;   8481.2 ;       3215.86 ;    21.83 ;       5977.25 ;    40.57 ;  762.47 ;
   2 ;    3 ;    2 ;   3 ; 362.00 ;  4 ; N             ;     5780.0 ;    437.0 ;  2770.30 ;     0.00 ;  9454.25 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;   -6881.55 ;    -     ;    -     ;     0.00 ;   8481.2 ;       3215.86 ;    21.83 ;       5977.25 ;    40.57 ;  745.90 ;
   2 ;    3 ;    2 ;  -  ;   -    ;  4 ; N             ;     6019.2 ;    437.0 ;  2855.82 ;     0.00 ; 11691.49 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;   -8965.13 ;    -     ;    -     ;     0.00 ;   8481.2 ;       3215.86 ;    21.83 ;       5977.25 ;    40.57 ;  757.19 ;
   2 ;    3 ;    2 ;   1 ; 152.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  777.75 ;
   2 ;    3 ;    2 ;   2 ; 182.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  762.47 ;
   2 ;    3 ;    2 ;   3 ; 362.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;  745.90 ;
